Description:
Note:\Note
Interval:5min
Start date: 2:04:05,  1 Oct 2020
time[s],temp,L1_680,L1_720,L2_680,L2_720,L3_680,L3_720,L4_680,L4_720,L5_680,L05_720,L6_680,L6_720,L7_680,L7_720,L8_680,L8_720
57303,38.01,0.567,0.376,1.488,0.838,1.672,0.887,1.77,1.009,1.856,1.073,1.775,1.061,1.761,1.059,1.582,0.934,
57603,37.896,0.561,0.373,1.506,0.85,1.7,0.907,1.77,1.02,1.877,1.082,1.775,1.056,1.77,1.059,1.599,0.946,
57903,37.954,0.571,0.38,1.515,0.853,1.708,0.906,1.787,1.023,1.888,1.084,1.784,1.064,1.77,1.061,1.599,0.944,
58203,37.914,0.579,0.385,1.52,0.855,1.73,0.916,1.796,1.031,1.888,1.087,1.793,1.068,1.787,1.069,1.611,0.948,
58503,37.996,0.58,0.386,1.545,0.87,1.73,0.92,1.815,1.037,1.888,1.091,1.811,1.075,1.796,1.069,1.617,0.961,
58803,38.005,0.586,0.389,1.566,0.877,1.754,0.934,1.815,1.043,1.911,1.098,1.802,1.08,1.805,1.081,1.629,0.958,
59103,37.978,0.595,0.396,1.571,0.882,1.763,0.931,1.824,1.051,1.911,1.1,1.831,1.085,1.805,1.08,1.636,0.965,
59403,38.03,0.596,0.395,1.582,0.887,1.771,0.937,1.834,1.056,1.923,1.103,1.831,1.085,1.824,1.09,1.655,0.974,
59703,38.038,0.597,0.397,1.593,0.897,1.797,0.951,1.834,1.048,1.935,1.115,1.841,1.092,1.824,1.094,1.636,0.963,
60003,37.996,0.605,0.397,1.605,0.896,1.807,0.953,1.844,1.061,1.935,1.12,1.841,1.094,1.824,1.092,1.655,0.975,
60303,37.974,0.609,0.404,1.623,0.902,1.816,0.961,1.844,1.058,1.948,1.118,1.851,1.096,1.834,1.095,1.668,0.975,
60603,38.003,0.612,0.402,1.629,0.913,1.825,0.962,1.876,1.07,1.935,1.124,1.851,1.097,1.844,1.101,1.668,0.975,
60903,38.127,0.629,0.419,1.655,0.92,1.825,0.965,1.876,1.077,1.961,1.128,1.872,1.108,1.854,1.108,1.696,0.994,
61203,38.079,0.625,0.415,1.661,0.921,1.845,0.973,1.887,1.08,1.974,1.136,1.872,1.112,1.854,1.105,1.689,0.984,
61503,37.903,0.634,0.421,1.682,0.929,1.845,0.978,1.898,1.092,1.974,1.134,1.872,1.114,1.864,1.116,1.704,0.991,
61803,38.027,0.64,0.422,1.682,0.929,1.866,0.985,1.898,1.094,1.988,1.142,1.894,1.118,1.875,1.116,1.711,1,
62103,37.969,0.643,0.423,1.696,0.94,1.877,0.991,1.898,1.091,1.988,1.138,1.906,1.127,1.886,1.123,1.719,1.001,
62403,38.018,0.651,0.428,1.703,0.949,1.888,0.998,1.909,1.1,2.002,1.146,1.906,1.125,1.897,1.125,1.726,1.004,
62703,38.009,0.655,0.432,1.718,0.946,1.899,1.001,1.909,1.1,2.002,1.15,1.918,1.133,1.886,1.127,1.742,1.005,
63003,38.105,0.662,0.436,1.734,0.955,1.91,1.005,1.921,1.101,2.017,1.156,1.93,1.139,1.909,1.127,1.742,1.014,
63303,37.985,0.663,0.433,1.75,0.963,1.91,1.014,1.934,1.109,2.032,1.161,1.943,1.139,1.909,1.137,1.758,1.016,
63603,37.927,0.671,0.44,1.767,0.968,1.922,1.018,1.934,1.114,2.048,1.163,1.943,1.139,1.921,1.139,1.767,1.022,
63903,38.045,0.676,0.444,1.775,0.972,1.922,1.021,1.934,1.113,2.032,1.167,1.943,1.137,1.921,1.141,1.775,1.026,
64203,37.914,0.681,0.444,1.784,0.978,1.947,1.032,1.959,1.126,2.048,1.169,1.969,1.157,1.946,1.143,1.784,1.033,
64503,38.052,0.689,0.452,1.793,0.985,1.96,1.035,1.959,1.124,2.048,1.176,1.969,1.151,1.946,1.153,1.793,1.036,
64803,37.916,0.7,0.459,1.793,0.989,1.96,1.037,1.972,1.128,2.064,1.178,1.983,1.162,1.933,1.149,1.802,1.041,
65103,38.139,0.711,0.467,1.812,0.997,1.973,1.043,1.959,1.13,2.064,1.182,1.983,1.166,1.959,1.159,1.821,1.05,
65403,37.965,0.71,0.465,1.831,0.999,1.973,1.045,1.986,1.14,2.064,1.182,1.997,1.168,1.959,1.162,1.831,1.06,
65703,38.165,0.711,0.463,1.831,1,1.973,1.051,1.986,1.138,2.081,1.191,1.997,1.174,1.959,1.162,1.841,1.06,
66003,37.961,0.72,0.471,1.841,1.005,1.987,1.056,1.986,1.144,2.081,1.191,2.012,1.177,1.972,1.162,1.841,1.057,
66303,38.021,0.728,0.477,1.851,1.012,1.987,1.056,2.001,1.148,2.099,1.193,2.012,1.179,1.986,1.17,1.862,1.065,
66603,37.923,0.726,0.472,1.862,1.018,2.016,1.064,2.001,1.154,2.117,1.198,2.012,1.183,2,1.176,1.872,1.072,
