Description:
Note:\Note
Interval:5min
Start date: 2:04:05,  1 Oct 2020
time[s],temp,L1_680,L1_720,L2_680,L2_720,L3_680,L3_720,L4_680,L4_720,L5_680,L05_720,L6_680,L6_720,L7_680,L7_720,L8_680,L8_720
12600,37.965,0.171,0.098,0.217,0.135,0.208,0.117,0.239,0.14,0.22,0.132,0.218,0.136,0.191,0.13,0.176,0.092,
12900,37.969,0.165,0.095,0.22,0.139,0.205,0.113,0.237,0.143,0.227,0.135,0.216,0.134,0.19,0.125,0.178,0.09,
13200,37.978,0.17,0.098,0.228,0.149,0.212,0.122,0.242,0.145,0.226,0.134,0.217,0.134,0.189,0.128,0.18,0.098,
13500,37.958,0.172,0.102,0.231,0.148,0.211,0.119,0.246,0.148,0.225,0.135,0.22,0.135,0.195,0.131,0.187,0.098,
13800,37.978,0.176,0.103,0.228,0.14,0.207,0.117,0.239,0.142,0.235,0.144,0.226,0.143,0.198,0.136,0.184,0.1,
14100,37.959,0.174,0.103,0.235,0.153,0.216,0.122,0.241,0.141,0.233,0.139,0.219,0.135,0.202,0.138,0.185,0.097,
14400,38.007,0.175,0.105,0.236,0.149,0.218,0.123,0.251,0.147,0.235,0.146,0.226,0.139,0.206,0.14,0.2,0.109,
14700,37.972,0.175,0.104,0.235,0.15,0.224,0.129,0.247,0.148,0.235,0.139,0.23,0.15,0.203,0.136,0.189,0.102,
15000,38.027,0.179,0.107,0.239,0.15,0.22,0.126,0.259,0.153,0.23,0.141,0.232,0.145,0.209,0.142,0.198,0.113,
15300,38.072,0.177,0.104,0.244,0.16,0.228,0.134,0.259,0.159,0.238,0.151,0.237,0.152,0.21,0.141,0.196,0.107,
15600,38.045,0.182,0.112,0.252,0.162,0.236,0.136,0.259,0.154,0.249,0.159,0.232,0.148,0.208,0.142,0.201,0.108,
15900,37.999,0.182,0.11,0.248,0.163,0.235,0.134,0.257,0.15,0.253,0.16,0.237,0.153,0.216,0.142,0.198,0.108,
16200,37.885,0.181,0.107,0.249,0.16,0.229,0.127,0.261,0.157,0.24,0.15,0.245,0.164,0.218,0.152,0.206,0.117,
16500,37.92,0.183,0.108,0.257,0.164,0.235,0.136,0.26,0.154,0.248,0.15,0.236,0.147,0.216,0.15,0.207,0.117,
16800,38.027,0.178,0.106,0.252,0.163,0.245,0.149,0.26,0.159,0.246,0.151,0.242,0.156,0.232,0.161,0.209,0.118,
17100,38.099,0.182,0.108,0.267,0.176,0.237,0.138,0.272,0.163,0.252,0.161,0.254,0.166,0.229,0.163,0.211,0.11,
17400,38.023,0.19,0.12,0.262,0.176,0.238,0.136,0.283,0.171,0.262,0.159,0.245,0.159,0.228,0.153,0.208,0.121,
17700,38.019,0.186,0.114,0.275,0.182,0.243,0.144,0.266,0.157,0.256,0.164,0.252,0.162,0.233,0.168,0.217,0.12,
18000,38.099,0.193,0.118,0.267,0.171,0.25,0.149,0.277,0.17,0.263,0.168,0.271,0.171,0.239,0.17,0.208,0.118,
18300,37.945,0.188,0.115,0.269,0.181,0.257,0.154,0.273,0.163,0.259,0.165,0.268,0.184,0.234,0.161,0.22,0.131,
18600,37.961,0.192,0.116,0.285,0.185,0.251,0.146,0.275,0.164,0.271,0.172,0.263,0.178,0.253,0.183,0.216,0.111,
18900,37.974,0.188,0.118,0.277,0.184,0.249,0.144,0.296,0.183,0.277,0.17,0.265,0.172,0.249,0.172,0.216,0.117,
19200,37.998,0.193,0.115,0.289,0.187,0.271,0.165,0.286,0.173,0.29,0.195,0.257,0.167,0.253,0.171,0.235,0.132,
19500,38.056,0.197,0.121,0.282,0.185,0.263,0.167,0.283,0.171,0.278,0.175,0.284,0.183,0.248,0.172,0.237,0.132,
19800,37.945,0.202,0.127,0.295,0.192,0.257,0.155,0.304,0.188,0.284,0.186,0.267,0.173,0.241,0.164,0.232,0.137,
20100,37.983,0.2,0.131,0.293,0.195,0.259,0.148,0.292,0.184,0.289,0.188,0.274,0.18,0.235,0.159,0.227,0.129,
20400,38.027,0.198,0.126,0.294,0.193,0.269,0.156,0.301,0.187,0.294,0.187,0.289,0.207,0.258,0.175,0.241,0.138,
20700,37.921,0.204,0.129,0.308,0.204,0.282,0.168,0.321,0.196,0.283,0.177,0.302,0.2,0.259,0.179,0.256,0.15,
21000,38.083,0.2,0.125,0.312,0.204,0.264,0.158,0.307,0.192,0.308,0.204,0.31,0.209,0.262,0.18,0.251,0.136,
21300,38.099,0.208,0.13,0.308,0.204,0.292,0.181,0.308,0.179,0.32,0.216,0.297,0.198,0.276,0.202,0.259,0.146,
21600,38.114,0.205,0.13,0.308,0.196,0.279,0.167,0.315,0.189,0.306,0.199,0.316,0.212,0.274,0.193,0.259,0.152,
21900,38.061,0.202,0.123,0.316,0.208,0.303,0.188,0.327,0.207,0.315,0.206,0.301,0.193,0.27,0.189,0.271,0.158,
22200,38.03,0.198,0.122,0.32,0.213,0.291,0.167,0.322,0.193,0.313,0.203,0.308,0.209,0.267,0.183,0.265,0.154,
22500,37.97,0.21,0.13,0.321,0.211,0.299,0.182,0.338,0.205,0.335,0.211,0.325,0.221,0.301,0.221,0.287,0.18,
22800,38.079,0.208,0.13,0.33,0.221,0.29,0.172,0.343,0.216,0.33,0.22,0.315,0.211,0.29,0.201,0.285,0.164,
23100,38.019,0.216,0.139,0.344,0.228,0.3,0.178,0.354,0.216,0.333,0.215,0.32,0.214,0.289,0.206,0.283,0.168,
23400,37.967,0.217,0.136,0.335,0.222,0.315,0.191,0.339,0.216,0.343,0.234,0.326,0.213,0.297,0.214,0.286,0.175,
23700,37.932,0.213,0.139,0.347,0.233,0.309,0.184,0.369,0.24,0.345,0.23,0.341,0.239,0.302,0.206,0.291,0.179,
24000,38.052,0.216,0.139,0.35,0.232,0.321,0.199,0.345,0.212,0.35,0.23,0.343,0.223,0.308,0.216,0.301,0.181,
24300,37.961,0.214,0.141,0.35,0.236,0.316,0.189,0.354,0.219,0.366,0.244,0.353,0.241,0.313,0.216,0.299,0.173,
24600,38.007,0.228,0.147,0.357,0.232,0.322,0.197,0.365,0.226,0.359,0.237,0.359,0.246,0.319,0.219,0.312,0.186,
24900,37.987,0.222,0.142,0.365,0.245,0.334,0.205,0.382,0.24,0.376,0.248,0.353,0.238,0.321,0.229,0.312,0.19,
25200,38.07,0.228,0.156,0.367,0.242,0.335,0.202,0.374,0.228,0.38,0.257,0.359,0.245,0.329,0.24,0.313,0.188,
25500,38.027,0.232,0.147,0.362,0.241,0.339,0.21,0.39,0.242,0.383,0.26,0.374,0.259,0.352,0.244,0.328,0.208,
25800,37.974,0.228,0.148,0.377,0.246,0.337,0.198,0.393,0.247,0.385,0.254,0.377,0.258,0.345,0.248,0.335,0.199,
